Date,Time,Restaurant,Items,Total Amount
2024-01-20,19:30,Pizza Paradise,"Margherita Pizza, Garlic Bread",25.50
2024-01-18,20:15,Curry House,"Chicken Tikka Masala, Naan, Rice",18.99
2024-01-15,13:00,Sushi Master,"California Roll, Salmon Sashimi, Miso Soup",32.50
2024-01-12,21:00,Burger Joint,"Cheeseburger, Fries, Cola",15.99
2024-01-10,19:00,Pizza Paradise,"Pepperoni Pizza, Wings",28.99
2024-01-08,20:30,Thai Spice,"Pad Thai, Spring Rolls",22.50
2024-01-05,12:30,Healthy Bowl,"Buddha Bowl, Smoothie",19.99
2024-01-03,19:45,Curry House,"Palak Paneer, Garlic Naan",16.50
2024-01-01,14:00,Sushi Master,"Dragon Roll, Edamame",24.99
2023-12-28,20:00,Burger Joint,"Chicken Sandwich, Onion Rings",14.50
2023-12-25,18:30,Pizza Paradise,"Veggie Pizza, Breadsticks",23.99
2023-12-22,19:15,Thai Spice,"Green Curry, Jasmine Rice",20.99
2023-12-20,13:30,Healthy Bowl,"Grilled Chicken Salad, Fresh Juice",17.50
2023-12-18,21:30,Burger Joint,"Double Burger, Loaded Fries",19.99
2023-12-15,19:00,Curry House,"Chicken Biryani, Raita",21.50
